dataset_id,dataset_name,pipeline_role,scenario_complexity,evaluation_protocol,deployment_readiness,benchmark_limitation,pspr_comment
D001,PASCAL VOC,Detector training,Basic person-class localization with limited crowd and scale complexity,Average precision / mean average precision; Not applicable,Generic object-detection images,"Not designed for dense pedestrian detection, temporal identity continuity, or tracking evaluation",PASCAL VOC is interpreted as a detection-support dataset because it mainly supports detector training in the tracking-by-detection pipeline.
D002,MS COCO,Detector training,"Object-scale variation, clutter, and overlapping objects",COCO AP and related detection/segmentation metrics; Not applicable,Generic everyday scenes,Image-level dataset; does not provide identity continuity or trajectory annotations,MS COCO is interpreted as a detection-support dataset because it mainly supports detector training in the tracking-by-detection pipeline.
D003,Caltech Pedestrian,Pedestrian detector training and evaluation,Pedestrian localization under scale variation and partial occlusion,Miss rate / detection evaluation metrics; Not applicable,Urban driving,Limited environmental diversity and no identity-preservation evaluation,Caltech Pedestrian is interpreted as a detection-support dataset because it mainly supports pedestrian detector training and evaluation in the tracking-by-detection pipeline.
D004,CityPersons,Pedestrian detector training,"Small-scale pedestrians, occlusion, amodal/full-body localization, and urban clutter",Pedestrian detection metrics such as miss rate / AP; Not applicable,Urban street scenes,Limited value for evaluating association and identity recovery,CityPersons is interpreted as a detection-support dataset because it mainly supports pedestrian detector training in the tracking-by-detection pipeline.
D005,CrowdHuman,Pedestrian detector training,"Heavy crowding, body overlap, full/visible/head localization, and partial visibility",Detection AP / miss-rate style metrics; Not applicable,Dense pedestrian crowds,Does not evaluate temporal tracking or identity continuity,CrowdHuman is interpreted as a detection-support dataset because it mainly supports pedestrian detector training in the tracking-by-detection pipeline.
D006,WiderPerson,Pedestrian detector training,"Dense pedestrian localization, strong scale variation, and high person density",Detection AP / miss-rate style metrics; Not applicable,Crowded pedestrian scenes,Image-level dataset without track-level identity information,WiderPerson is interpreted as a detection-support dataset because it mainly supports pedestrian detector training in the tracking-by-detection pipeline.
D007,EuroCity Persons,Urban pedestrian detector training,"City-scale variation, scale changes, and traffic-scene complexity",Detection metrics such as AP / miss rate; Not applicable,Urban traffic scenes across multiple cities,Mainly supports detection and does not directly evaluate long-term identity association,EuroCity Persons is interpreted as a detection-support dataset because it mainly supports urban pedestrian detector training in the tracking-by-detection pipeline.
D008,WILDTRACK,Multi-camera pedestrian detection support,"Dense pedestrian localization, multi-camera calibration, and cross-view spatial consistency",Multi-camera localization / detection metrics; protocol-dependent; Not applicable / protocol-dependent,Synchronized multi-view outdoor surveillance,Limited calibrated scene scale; not a broad temporal MOT benchmark,WILDTRACK is interpreted as a detection-support dataset because it mainly supports multi-camera pedestrian detection support in the tracking-by-detection pipeline.
R001,Market-1501,Image-based person Re-ID training and evaluation,"Cross-camera appearance variation, detector noise, and distractor identities",Rank-1 accuracy and mean average precision; Query-gallery retrieval protocol,Multi-camera surveillance,Query-gallery retrieval protocol; does not evaluate continuous trajectory tracking,Market-1501 is interpreted as a person re-id/person-search dataset because it mainly supports image-based person re-id training and evaluation in the tracking-by-detection pipeline.
R002,CUHK03,Image-based person Re-ID training and evaluation,Cross-view identity matching with labelled and detector-generated boxes,Rank-1 accuracy and mAP / CMC-style metrics; Query-gallery retrieval protocol,Multi-camera campus surveillance,Does not evaluate online association or long-term identity persistence,CUHK03 is interpreted as a person re-id/person-search dataset because it mainly supports image-based person re-id training and evaluation in the tracking-by-detection pipeline.
R003,DukeMTMC-reID,Image-based person Re-ID training and evaluation,"Occlusion, cross-camera matching, and distractor identities in real surveillance scenes",Rank-1 accuracy and mean average precision; Query-gallery retrieval protocol,Multi-camera campus surveillance,Does not test the complete online tracking pipeline; dataset access may be restricted/retired,DukeMTMC-reID is interpreted as a person re-id/person-search dataset because it mainly supports image-based person re-id training and evaluation in the tracking-by-detection pipeline.
R004,MSMT17,Large-scale image-based person Re-ID training and evaluation,"Illumination variation, camera diversity, time-of-day variation, and background changes",Rank-1 accuracy and mean average precision; Query-gallery retrieval protocol,Indoor and outdoor multi-camera scenes,Retrieval-oriented and does not directly evaluate detection-to-track association,MSMT17 is interpreted as a person re-id/person-search dataset because it mainly supports large-scale image-based person re-id training and evaluation in the tracking-by-detection pipeline.
R005,MARS,Video-based person Re-ID and temporal appearance modelling,Tracklet-level identity matching with detector and tracker noise,Rank-1 accuracy and mean average precision; Tracklet retrieval protocol,Multi-camera video tracklets,Tracklet retrieval differs from complete MOT evaluation,MARS is interpreted as a person re-id/person-search dataset because it mainly supports video-based person re-id and temporal appearance modelling in the tracking-by-detection pipeline.
R006,iLIDS-VID,Video-based person Re-ID evaluation,"Occlusion, clutter, lighting variation, and viewpoint change across image sequences",CMC / Rank-based Re-ID metrics; Sequence-level retrieval protocol,Two-camera public surveillance,Limited number of identities and cameras restricts large-scale tracking generalization,iLIDS-VID is interpreted as a person re-id/person-search dataset because it mainly supports video-based person re-id evaluation in the tracking-by-detection pipeline.
R007,PRID2011,Legacy image/video Re-ID benchmark,"Cross-view illumination, pose, and viewpoint variation",CMC / Rank-based Re-ID metrics; Cross-camera retrieval protocol,Two-camera surveillance,Small and less challenging than modern large-scale Re-ID datasets,PRID2011 is interpreted as a person re-id/person-search dataset because it mainly supports legacy image/video re-id benchmark in the tracking-by-detection pipeline.
R008,PRW,Joint detection and Re-ID bridge dataset,Coupled pedestrian detection and identity retrieval under detector-dependent noise,Person-search mAP and top-k / Rank-style metrics; Person-search detection plus retrieval protocol,Full-scene multi-camera surveillance,Person-search benchmark rather than a full trajectory-level MOT benchmark,PRW is interpreted as a person re-id/person-search dataset because it mainly supports joint detection and re-id bridge dataset in the tracking-by-detection pipeline.
