dataset_id,dataset_name,dataset_family,primary_role_code,secondary_role_codes,primary_role_label,scenario_complexity_score_0_6,scenario_complexity_basis,evaluation_protocol_score_0_4,evaluation_protocol_basis,deployment_readiness_score_0_5,deployment_readiness_basis,benchmark_limitation_severity_0_3,main_limitation,pspr_interpretation
D001,PASCAL VOC,Detection-support,DET,,Detector training/support,1,General object/person localization with limited crowd and temporal complexity,2,Standard detection-style evaluation; no identity or trajectory protocol,1,Generic image data; limited deployment-specific pedestrian diversity,3,"Not designed for dense pedestrian detection, temporal identity continuity, or tracking evaluation","Detection-support resource for pretraining/benchmarking generic person localization, not a full MPT benchmark."
D002,MS COCO,Detection-support,DET,,Detector training/support,2,"Object-scale variation, clutter, overlapping objects, and diverse everyday scenes",2,Standardized detection/segmentation metrics; no identity or association evaluation,2,"Large and diverse image corpus, but not tracking-specific",3,Image-level dataset without identity continuity or trajectory annotations,"Useful for detector pretraining in tracking-by-detection pipelines, but cannot evaluate MPT association."
D003,Caltech Pedestrian,Detection-support,DET,DRV,Pedestrian detector training/evaluation,2,"Scale variation, partial occlusion, urban road scenes, and pedestrian localization",3,Pedestrian detection benchmark with established detection metrics and protocols,3,Real urban driving videos with pedestrian detection relevance,3,Detection-oriented; does not evaluate identity preservation or trajectory association,"Supports pedestrian detector training/evaluation for MPT pipelines, not complete tracking evaluation."
D004,CityPersons,Detection-support,DET,DRV,Pedestrian detector training,3,"Small-scale pedestrians, occlusion, amodal/full-body localization, and urban clutter",2,Pedestrian detection metrics and splits; no identity-aware tracking protocol,3,Urban street scenes with realistic pedestrian localization challenges,3,"Limited value for evaluating association, temporal continuity, or identity recovery","Strong detector-support dataset for urban pedestrian localization, but not a trajectory benchmark."
D005,CrowdHuman,Detection-support,DET,DCT,Pedestrian detector training,3,"Heavy crowding, body overlap, full/visible/head boxes, and partial visibility",2,Detection AP/miss-rate style evaluation; no temporal identity metrics,2,Dense pedestrian images but limited video-level deployment context,3,Does not evaluate temporal tracking or identity continuity,Useful for crowded-scene detector pretraining before tracking on MOT20-like benchmarks.
D006,WiderPerson,Detection-support,DET,DCT,Pedestrian detector training,3,"Dense pedestrian localization, strong scale variation, and high person density",2,Detection-oriented evaluation; no identity or trajectory protocol,2,Crowded pedestrian scenes with useful detection variation,3,Image-level dataset without track-level identity information,"Useful for pedestrian detector robustness in dense scenes, not for evaluating MPT end-to-end."
D007,EuroCity Persons,Detection-support,DET,DRV,Urban pedestrian detector training,4,"City-scale variation, scale changes, traffic-scene complexity, and adverse-condition relevance",2,Detection-style evaluation; no trajectory-level identity preservation metrics,4,Urban traffic scenes across multiple cities with deployment-relevant variability,3,Mainly supports detection and does not directly evaluate long-term identity association,Useful for deployment-oriented pedestrian detector training in driving or urban MPT pipelines.
D008,WILDTRACK,Detection-support,DET,MCT,Multi-camera pedestrian detection/localization support,3,"Dense pedestrian localization, multi-camera calibration, and cross-view spatial consistency",3,Multi-camera localization/detection protocol; identity tracking protocol is limited,3,Synchronized multi-view outdoor surveillance with calibrated cameras,2,Limited calibrated scene scale; not a broad temporal MOT benchmark,Useful for multi-camera pedestrian localization and cross-view detection support.
R001,Market-1501,Re-ID/person-search,REID,,Image-based person Re-ID training/evaluation,2,"Cross-camera appearance variation, detector noise, and distractor identities",3,Standard query-gallery retrieval protocol with Rank-1/mAP and identity labels,2,Multi-camera surveillance imagery but retrieval-oriented,2,Query-gallery retrieval does not evaluate continuous trajectory tracking,"Useful for identity-discriminative appearance learning, but Re-ID accuracy alone does not guarantee online tracking."
R002,CUHK03,Re-ID/person-search,REID,,Image-based person Re-ID training/evaluation,2,Cross-view identity matching with labelled and detector-generated boxes,3,CMC/mAP-style Re-ID protocol with identity labels,2,Multi-camera campus surveillance but limited modern deployment variation,2,Does not evaluate online association or long-term identity persistence,"Supports Re-ID representation learning, not end-to-end MPT evaluation."
R003,DukeMTMC-reID,Re-ID/person-search,REID,MCT,Image-based person Re-ID training/evaluation,3,"Occlusion, cross-camera matching, distractors, and real surveillance scenes",3,Standard Re-ID query-gallery protocol with Rank-1/mAP,2,Campus surveillance context but limited current accessibility,3,Not a full online tracking benchmark; access and usage restrictions may apply,"Historically important Re-ID resource, but current use requires careful access/governance checks."
R004,MSMT17,Re-ID/person-search,REID,MCT,Large-scale image-based person Re-ID training/evaluation,4,"Illumination variation, camera diversity, time-of-day variation, and background changes",3,Large-scale Re-ID query-gallery protocol with identity-sensitive retrieval metrics,3,Indoor/outdoor multi-camera scenes with stronger visual diversity,2,Retrieval-oriented and does not directly evaluate detection-to-track association,Useful for robust appearance embedding learning under diverse camera and illumination settings.
R005,MARS,Re-ID/person-search,REID,,Video-based person Re-ID and temporal appearance modelling,3,Tracklet-level identity matching with detector/tracker noise and temporal appearance changes,3,Tracklet retrieval protocol with identity-sensitive Rank/mAP metrics,2,"Video tracklets from multi-camera surveillance, but not online tracking",2,Tracklet retrieval differs from complete MOT evaluation,"Useful for temporal Re-ID features and tracklet matching, but not for full detector-association evaluation."
R006,iLIDS-VID,Re-ID/person-search,REID,,Video-based person Re-ID evaluation,3,"Occlusion, clutter, lighting variation, and viewpoint change across image sequences",2,Sequence-level retrieval protocol with CMC/rank-based Re-ID metrics,2,Public surveillance sequences but limited scale,2,Limited number of identities and cameras restricts large-scale tracking generalization,Useful for sequence-based Re-ID evaluation under occlusion and viewpoint change.
R007,PRID2011,Re-ID/person-search,REID,,Legacy image/video Re-ID benchmark,2,"Cross-view illumination, pose, and viewpoint variation in a small setting",2,Rank/CMC-style Re-ID protocol,1,Two-camera surveillance with limited scale and diversity,2,Small and less challenging than modern large-scale Re-ID datasets,"Useful as a legacy Re-ID reference, but limited for modern MPT benchmarking."
R008,PRW,Re-ID/person-search,PS,REID;DET,Joint detection and person-search benchmark,3,"Coupled pedestrian detection, full-scene search, and detector-dependent identity retrieval",3,Person-search mAP/top-k protocol linking detection and identity retrieval,3,Full-scene multi-camera surveillance and detector-aware identity retrieval,2,Person-search benchmark rather than a full trajectory-level MOT benchmark,"Bridges detection and Re-ID, useful for detector-aware identity retrieval."
